0_0_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
1_1_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
2_2_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
3_3_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
4_4_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
5_5_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
6_6_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
7_7_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
8_8_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
9_9_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
10_10_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
11_11_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
12_12_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
13_13_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
14_14_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
15_15_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
16_16_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
17_17_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
18_18_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
19_19_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
20_20_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
21_21_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
22_22_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
23_23_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
24_24_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
25_25_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
26_26_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
27_27_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
28_28_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
29_29_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
30_30_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
31_31_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
32_32_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
33_33_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
34_34_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
35_35_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
36_36_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
37_37_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
38_38_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
39_39_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
40_40_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
41_41_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
42_42_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
43_43_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
44_44_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
45_45_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
46_46_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
47_47_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
48_48_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
49_49_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
50_50_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
51_51_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
52_52_188_50_0_43_32_64_0_0_0_0_0_24_0_[0, 64]_[0, 64, 1, 0]
